Country,Year,Area Code (M49),Element Code,Year Code,Value
Pakistan,2004,586.0,5409.8080495356035,2004.0,1527688.2269040248
Pakistan,2005,586.0,5409.8080495356035,2005.0,1549620.4704024768
Pakistan,2006,586.0,5409.801242236025,2006.0,1500197.3648757765
Pakistan,2007,586.0,5409.8080495356035,2007.0,1569654.0893498452
Pakistan,2008,586.0,5409.8080495356035,2008.0,1640608.2296904025
Pakistan,2009,586.0,5409.8080495356035,2009.0,1651611.638637771
Pakistan,2010,586.0,5410.111455108359,2010.0,1669582.644489164
Pakistan,2011,586.0,5410.117283950617,2011.0,1746705.1702469136
Pakistan,2012,586.0,5410.20606060606,2012.0,1745168.2239393939
Pakistan,2013,586.0,5410.226586102719,2013.0,2066453.597613293
Pakistan,2014,586.0,5409.924242424242,2014.0,2152901.1899090908
Pakistan,2015,586.0,5410.226586102719,2015.0,2176866.066978852
Pakistan,2016,586.0,5410.226586102719,2016.0,2220906.8677643505
Pakistan,2017,586.0,5409.924242424242,2017.0,2355434.2824545456
Pakistan,2018,586.0,5409.911585365854,2018.0,2357114.3211280485
Pakistan,2019,586.0,5410.237237237237,2019.0,2376519.535225225
Pakistan,2020,586.0,5410.545722713864,2020.0,2438083.526283186
Pakistan,2021,586.0,5410.55,2021.0,2532887.033970588
Pakistan,2022,586.0,5410.55,2022.0,2579702.8244411764
Pakistan,2023,586.0,5403.669811320755,2023.0,2792027.5747484276
Portugal,2000,620.0,5413.923303834808,2000.0,145634.88306784662
Portugal,2001,620.0,5413.923303834808,2001.0,136971.93587020648
Portugal,2002,620.0,5413.923303834808,2002.0,143059.31182890857
Portugal,2003,620.0,5413.923303834808,2003.0,138489.558259587
Portugal,2004,620.0,5413.923303834808,2004.0,139978.5602064897
Portugal,2005,620.0,5413.923303834808,2005.0,137601.43787610618
Portugal,2006,620.0,5413.923303834808,2006.0,140632.82277286137
Portugal,2007,620.0,5413.923303834808,2007.0,142579.5795575221
Portugal,2008,620.0,5413.92899408284,2008.0,145088.12556213018
Portugal,2009,620.0,5413.92899408284,2009.0,141286.2600295858
Portugal,2010,620.0,5414.486803519061,2010.0,140087.68524926685
Portugal,2011,620.0,5414.486803519061,2011.0,136755.11721407625
Portugal,2012,620.0,5414.486803519061,2012.0,132693.41205278592
Portugal,2013,620.0,5414.486803519061,2013.0,129563.28082111436
Portugal,2014,620.0,5414.766081871345,2014.0,132865.7165497076
Portugal,2015,620.0,5414.766081871345,2015.0,139889.81
Portugal,2016,620.0,5414.766081871345,2016.0,137278.84590643275
Portugal,2017,620.0,5414.766081871345,2017.0,138442.68944444443
Portugal,2018,620.0,5413.4668989547035,2018.0,173469.09205574915
Portugal,2019,620.0,5411.733564013841,2019.0,176712.51307958478
Portugal,2020,620.0,5407.6335616438355,2020.0,169899.97335616438
Portugal,2021,620.0,5411.032846715329,2021.0,183089.06656934306
Portugal,2022,620.0,5411.032846715329,2022.0,174027.57631386863
Portugal,2023,620.0,5399.45643153527,2023.0,179990.25975103735
